Category,Channel,Message
FC,11,"☆★☆ We're completely LGBT friendly and have two events every month like costume contests, trivia nights and more! Send a /tell if you're interested! ☆★☆"
FC,11,"☆★☆ We're completely LGBT friendly and have two events every month like costume contests, trivia nights and more! Send a /tell if you're interested! ☆★☆"
FC,11,★★★Eorzean Dork Knights (EDK)★★★
FC,11,♡♡ PomHub <Pom> is recruiting new and veteran players to join our growing family! | 18 + | LGBTQ Friendly | Housing | Daily Buffs | Events | Discord |
FC,11,Aethermist <<AETHR>> is recruiting. We are a casual static and RP group that's dedicated to aiding our members in their growth. We focus on more than just content.
FC,11,"Alith are a casual social community, focused on a pressure-free environment. With a dedicated website, Large House, discord, and 11 years experience - Alith is a positive, friendly, drama free community. Read more & Apply at AlithFFXIV.com, or /t for more info "
FC,11,"All we ask from you is an Egao (smile) and in return you'll get a hell of a good time! ^^ If you're interested, don't be afraid to send a /tell!"
FC,11,Are you a beginner or returner looking for a new home? Perhaps a veteran who's into casual content? A Raider? Then this is where you belong!
FC,11,Ashes Of Aesir <<Aesir>> FC is recruiting! we are a friendly bunch in search of expanding our wings with friendly and active members.
FC,11,Blood Oath is recruiting! we have medium house with 2 subs and 2 airships. looking for players of any and all skill levels. only rules are be kind and NO POLITICS! if interested please send me a /tell or send an application. thank you for your time
FC,11,Check out ★edk-fc.com★
FC,11,"Check us out on Community Finder, apply or /tell me for invite/more info. "
FC,11,Chocobo & Waffles is looking for friendly people of all jobs/levles. It's a waffly fun FC!  /tell me if intrested!
FC,11,"Come join Area of Effect an active FC where everyone fits in! We have the best system for taking it to the face around! Dm me for a treat, invite or info <3"
FC,11,Did you know that your elbow skin doesn't hurt no matter how hard you pinch? Bet you also didn't know <<EoD>> is recruiting! Send me a  for more info
FC,11,Dragon Riders is a friendly and active fc willing to help out players of all experience and skill levels.  We are a max level fc with a large house and constant exp buffs.  Feel free to apply or send a tell to join!
FC,11,"Elder Tales <D.D.D> is seeking all experience of players to come and join our community, we offer a small house in the Mist, XP buffs, and more. /t or apply for invite!"
FC,11,"Events of all sorts, access to a large FC house in the Lavender Beds with all the expected amenities, regular membership gifts and more are just waiting for you!"
FC,11,"Fanelia is recruiting! We're a small, casual fc. Large house in Shirogan, constant buffs, friendly/helpful members, and we're pretty chill. We have fc events, and a discord as well. New and Veteran players welcome! PST for more info!"
FC,11,Forgotten Travellers <Trvlr> Is recruiting! Looking to help newbies and make friends along the way! Check out our message on the community finder today or send me a msg! <3
FC,11,"Fun events, helpful runs, leveling buffs and discord server. Send a tell!"
FC,11,"Have you been running alone looking for the sweeter things on Faerie? Wanting to find a rowdy, yet caring, bunch of friends? Well, look no further than <CANDY>! we are a social rank 30 FC, friendly and willing to help new or returning players! Have a discord and Large House at Shiro! 18+, RP friendly, LGBTQ friendly as well. Send a tell and join today :hearts:"
FC,11,Hello Adventurers! Looking for the  PvE and PvP Free Company with the most competent raiders hardcore PvPers ready to teach you their tricks
FC,11,Hello Adventurers! Looking for the  PvE and PvP Free Company with the most competent raiders hardcore PvPers ready to teach you their tricks
FC,11,Hello Adventurers! Looking for the  PvE and PvP Free Company with the most competent raiders hardcore PvPers ready to teach you their tricks
FC,11,"Hello! Eorzea Garden is an academy-themed RP FC. We hope to shape the gifted few into the leaders of tomorrow. Be it combat, magitek, aether studies, medicine or diplomacy, your student will thrive and have a lot of fun along the way. We use house style placement to promote rivalry and competition within the school. The new semester is approaching, so it's a great time to join! Visit us at https://eorzeagarden.carrd.co/# for more info!  Have a great day! ^_^"
FC,11,Hey everyone! Blood Roses <<Bloom>> is looking for new and old members alike!
FC,11,"Hey, ""Egao Market"", a friendly FC, is looking for new members, new, returning players and veterans alike."
FC,11,Hi are you looking to join an FC? Dragon Riders is a friendly and active fc willing to help out players of all experience and skill levels.  We are a max level fc with a large house and constant exp buffs.  Feel free to apply or send a tell to join!
FC,11,Hi there!  Active Rank 30 FC called LAZER recruiting!   We are very friendly and active daily both in game and in our discord.  All we ask of you is for you to be active when you can be in our discord VC and play the game with us! We have a large house in the lavender beds with all the amenities!  Does that sound like something you might want to be a part of?  Then come on down and give us a try!
FC,11,If anyone is looking for a FC -> Looking for Party (Pork Loin)
FC,11,"If intersted, drop me a /tell. Happy trails. {21+, discord available}"
FC,11,"If you're looking for a fun, casual FC hit me up! We love helping out new players, doing raid content and being silly."
FC,11,"Ilysian is a Rank 20 Content and Community Focused FC seeking new, returning, and seasoned players to join our ranks and take part in weekly raids, map runs, social gatherings, PVP, and optional roleplay storyline. Submit an application, or just send a /tell if you are interested in making a home with us!"
FC,11,"Imperium Nirvana is now looking for new members! All are welcomed new or old, we dabble in RP and we dungeon often, If your looking for a new home look no where else!"
FC,11,"It doesn't matter if you're a sprout or a veteran to the game, seasoned or new to the RP scene, we welcome you."
FC,11,"join my free company. we don't got much, but we could have you. which probably also isn't much. join anyway. maps on wednesdays, discord if you feel like it, new player friendly. Ask about a house tour. <<GECKO>> /tell"
FC,11,"Join OMNI, Hyperions NUMBER ONE Beyblade 18+ RP FC, LGBTQ+ and BIPOC  inclusive, left leaning, and always letting it rip!"
FC,11,"Laughing Crows is a social FC looking for more people to fill our ranks! We got raids, farms, events, glam contests, large house and a brilliant discord group! Talk to me!"
FC,11,"Looking for a friendly community for new players and vets alike? We've got a place for you! EPL is recruiting- We're a social, LGBTQ+ friendly Max Rank FC with a Medium estate in Shirogane. If you're interested in joining our fun and lively community, send an application or a /tell!"
FC,11,"Looking for a friendly, inclusive Casual/Social FC? Alpacalypse <<PACAS>> is recruiting. Rank 30. House, discord and constant exp buffs included. /tell for info or an invite."
FC,11,"Looking for a friendly, social Free Company? Need a hand getting used to the game? We, the Seventh Heaven <<7th>>, are looking forward to expanding our family with new members. Currently a Rank 30 Free Company with a Medium House, we try to offer our friends the most we can while we are improving ourselves. If you're interested in becoming a part of our adventure, send a /tell or apply directly from our FC Profile."
FC,11,"Looking for an 18+ FC that enjoys all aspects of the game? <Lusty> (Rank 30) is here for you. From RP to Hunts; Whether you're new or a vet, we're a tight-knit group offering assistance to those who'd like it. We are a different kind of Free Company than what you'd expect. We have 24/7 buffs, discord, and of course are a judgement free LGBTQA+ friendly group ;) just click on my name and send a tell to get started!"
FC,11,looking for an active friendly FC to hang in.
FC,11,NANI? is a group of people who want to have fun playing. English spoken FC with discord too. If you want to join send a tell or apply so we can talk!
FC,11,NANI? is a group of people who want to have fun playing. English spoken FC with discord too. If you want to join send a tell or apply so we can talk! Woof woof :3
FC,11,"Need a home away from home? <KIN> is open to heroes seeking succor and shelter! We have plenty of food and reduce rates for Teleportation! New/Veteran Players are welcome - Apply now, or /t for more info! Visit our FC Discord at: https://discord.gg/9WFpVguTsC"
FC,11,"Need an FC? Why not come home to Amaurot? A small group with weekly events, active discord, players primarily on 3 - 11 pm EST /tell me for more info!"""
FC,11,"Nothing is a small and cozy FC looking for members! If emptiness is endless, then everything rests in nothingness. DM me to join on our endless journey!"
FC,11,"Our english and german mixed Free Company the ""Summoned Primals"" <Blood> is searching for new members, no matter if you are a newbie or already experienced."
FC,11,"Our FC is a place with multiple cultures, beliefs, ethnicities and nationalities; people of various gender and sexual orientations can find a home and a sanctuary."
FC,11,Paw Paw Grrr is currently recruiting! We are friendly bunch with constant mood for weird ideas! New? Veteran? Crafter? Doesn't matter! \tell me or Ophelia Shepard for inv :)
FC,11,"PhD: Phantasy Degree is a Rank 30 FC with a Large plot, 24/7 FC/EXP Buffs. There are NO Level Restrictions to join, we take new and old players. Ask to join or apply."
FC,11,Please excuse the spam (•ω•́ )b and /tell Storm Stormington@Lamia if you're interested!
FC,11,"Porxie Menace is recruiting! Veterans & newbies are welcome to join our plan to take over the world... with a snort!  Raiding, mapping, eureka, potd/hoh, pvp and much more!!"
FC,11,"Rank 13 FC ""Pride of Eden""  is inviting everyone who needs a fresh start!"
FC,11,"Rank 15 FC ""Mystery Incorporated""  is inviting everyone who needs a fresh start!"
FC,11,"Send a /tell if you have any questions or want to apply, and it's with great pleasure that we'll welcome you above the clouds!"
FC,11,"Slaughter FC looking for new/vets to share hot cheetos with. We have puns too.  Chill FC - No drama - No expectations, just have fun."
FC,11,"SourceForge is looking for returning gamers to chill, chat and do dungeons with! Mid-endgame FC with daily buffs, FC house and gardens, come join us today https://discord.gg/UtEj7vr"
FC,11,SugArCubes <BREAD> is a FC recruiting players old and new! We're currently small but we'd love to add you our ranks. We're looking to have a casual playthough of the game
FC,11,Thank you for you time /tell for invite or apply! <3
FC,11,"The Free Company Golden Valkyrie are recruiting members. We are an endgame orientated FC, but we are open to and accept all regardless."
FC,11,"The Grey Wardens <VIGIL> are looking to increase our membership. All levels are welcome. Friendly, helpful, discord. Send tell or apply if interested."
FC,11,"The LunaTic PanDorA are Recruiting! Active, fun and helpful FC open to players of all levels. We have a lovely house, a busy discord and fun events, send me a /tell :)"
FC,11,"The Riders of Meracydia are recruiting! We're an FC of dragon riders looking to grow, and we'd love to have you joining us on this journey."
FC,11,"The Salina Foundation <FndRp> Is a very inclusive, RP-friendly, social styled guild that does content from PvE, PvP, RP and events."
FC,11,"The Unseen University is opening its doors for the new semester! Apply now to have access to our vast knowledge about techniques to bake a crisp cookie to satisfy your GC or how to dodge the next sneeze by Titan to keep your party running. And should you already know about all that, have a cookie and chat with us over a cup of tea. :3"
FC,11,Tired of playing alone? Tired of endless queues? We are here to help and only wish you are interactive with us too!
FC,11,"Tired of wandering through the game a lonely weeb? Want Senpai to notice you?! Fat Chocobo FC is now recruiting! Top Ranked FC on Exodus & Worldwide, 6 yrs+ running strong!"
FC,11,"treasure hunts, and leveling/dungeons are also common. If this sounds like the place for you, send a tell or apply today."
FC,11,"Want to join a social FC?, Horizon Bonds likes to help novice players and we do a lot of events for all the members to enjoy the game =) Spanish speakers too. Pm me, we have a Mansion in Lavender Beds plot 33,10th Ward, come and visit!"
FC,11,"We aim for a friendly and fun atmosphere. If you have questions and want to know more about us, don't hesitate to /tell me or Kenji Morty who is my co leader."
FC,11,"We also enjoy building characters and story arcs, crafting and gathering, RP of all sorts, FC house, and more. Aethermist is about lifting one another like family."
FC,11,"We are a rank 30 FC with large FC house set in the goblet district, and continuous guild buffs."
FC,11,"We do not use discord, if you wish to chat we use playstation chat. If interested in joining PST."
FC,11,"We do Raids, Mount Farms, Maps, PvP, Deep Dungeons, Eurekas and more."
FC,11,We enjoy a vast variety of content together and we never shy away from tackling new challenges.
FC,11,"We have a beautiful mansion in the Mist with all comforts, a fleet farming for us and +20% battle exp buff on Saturdays! Send me a /tell if you want more info or a invite!"
FC,11,"We have a large house in Uldah, Ward 23 Plot 5, a discord server and weekly FC activities!"
FC,11,"We have a Mansion in Shirogane, buffs 24/7, drama free community, Discord and maps weekly!"
FC,11,"We have a med house in the goblet with 2 airships and subs Buffs, always on!"
FC,11,"We have a Medium house in Lavender Beds, Ward 21, Plot 5, an active Discord and weekly activities such as Mount Farm, Giveaways and Treasure Maps."
FC,11,"We have daily FC buffs catering to all playstyles, Battle classes, Gathering classes, Crafting classes, you name it we have it"
FC,11,"well we're not that FC, but if you like pizza and beer, this may be the  for you!! /tell me or apply   ♥"
FC,11,"well we're not that FC, but if you like pizza and beer, this may be the  for you!! /tell me or apply   ♥"
FC,11,"We're glad to help anyone through the game! We run a 24/7 exp buff and have a small FC house. Feel free to send a tell, or put in an application if interested!"
FC,11,"Will that wall kill you? Is that vuln stack worth it? Can I squeeze an extra GCD in? Let's find out for science! For Science <Wipe> is an active, Rank 30 FC with a large Estate. We're friendly, social, experienced, and happy to help new players. We've got gatherers, crafters, raiders, and casuals. Weekly events and Discord available."
FC,11,Wind up fc is a small company looking for new/seasoned adventures to join! If you need help with the msq/clear the latest raid well do our best to help! Send a tell/app to join
FC,11,"Xannrefini <XANJA> is recruiting! Xannrefini is a rank 15 FC with a small house! (Goblet W23 P7) The focus of this FC is endgame content such as Savage raids and extreme trials, but new players are welcome as well! Applications are open, tell for more info!"
FC,11, Horny on Main <Lust> is now recruiting new and old players! Looking for a casual FC to make some new friends or simply hang out? Come check us out!
FC,11," We have discord available, LGBTQ+ friendly, Rank 30, Large house and more! If you're interested please /tell or send in an app!"
FC,11, Check out The Cactuar Alliance http://bit.ly/CactuarFFXIV  | This is not an FC Recruitment nor Spam. Just ask Yoshi :3 (See website for details) 
FC,11, Check out The Cactuar Alliance http://bit.ly/CactuarFFXIV  | This is not an FC Recruitment nor Spam. Just ask Yoshi :3 (See website for details) 
FC,11, Hey Cactuar! Has your Free Company already joined the <CA> ? Are you an FC Leader or Officer and just NOW hearing about this!? Whaaaat really really?
FC,11, Hey Cactuar! Has your Free Company already joined the <CA> ? Are you an FC Leader or Officer and just NOW hearing about this!? Whaaaat really really?
FC,13,"<>>Eclipse would like you to join a - Low & High end Casual FC (24/7buffs). Accept, Decline or PM me♡."
FC,13,"Hello!;-) I've just send u an invite to join Artemis Moonlight. Join us if u like! We are a friendly and helpful FC, willing to help all level players and for fun teamplay. Kupo!"
FC,13,"<<>> Eclipsehey what about joining a  fc full of  people? Low & High end Casual FC (24/7buffs). Accept, Decline or PM me♡."
NORMAL,0," Its taking to long to get a party"
NORMAL,0,#14 - Lvl 5 Petrify
NORMAL,0,[7/8 static] CLEAR FOR 1 LET'S GOOOOOOO -- Happy Brambles | T/H N/E DPS S/W | Discord available
NORMAL,0,"‹50 - 200, Aetherpool 99/99› §Fast Key strat§ ¦Discord will be available at Floor 151 - 200¦ «Be experienced or cleared»"
NORMAL,0,"<tiles> prog | Happy Brambles | TH N/E, DPS S/W | Boss relative, T/H CW | Tiles start cardinals"
NORMAL,0,"<Triple Apoc to Clear> PLEASE, TANK JOIN. HAVE MERCY <3 || HTMR || Dwayne || Bilibili "
NORMAL,0,★Art commissions open★ Messege me on discord for more info! Loki#5002
NORMAL,0,"♡Need help with anything?♥ Chat, hangout, and can craft! Levekits, gear, & more!☂ Pop in, take a seat, & maybe I can help! :)"
NORMAL,0,♥ Looking for Girl Scout Cookies? ♥ I can hook you up! ♦ Message me on discord@Midna#4570 ♦
NORMAL,0,0 chest fun runs
NORMAL,0,"0-1 chest, clear for 1, Group 1 - WN Left, Group 2 - ES Right, JP strat dps adjust"
NORMAL,0,0-1 Chest// Happy Brambles // CW rotation// T/H = N/E // DPS = S/W
NORMAL,0,1 fresh learn  5/6 static cleared.  2 chest avalible  T+h- N+E Dps S+W happy brabbles/ boss relative. discord avalible.
NORMAL,0,1/2 chest Lootmaster for sam weap. If weap drops then coffer is rolled on. KB uptime. Ilya. If you just want a page or to help.
NORMAL,0,11S Reclears mario kart Fox mist strat Discord Available
NORMAL,0,"1st come, 1st serve dragos. Drop rate is common, let's get em!"
NORMAL,0,1st time for me all help is welcome and appreciated
NORMAL,0,2 Chest clear - Happy brambles / TH NW - DPS SE / Boss relative intercordinal stack
NORMAL,0,2 Chest enrage to clear .group 1 = NW/Left  group 2 = SE/Right. jp strat
NORMAL,0,2 chest lighting N fire S safe stay know the mechs don't join if you don't have the dps fuck off if you are looking for one pull clear
NORMAL,0,2 chest. 7/8 static. Disc required for calls. Mith strat brambles. T/H rotate cw for partners.
NORMAL,0,2 Chest. Discord available for callouts. E11S after for those who are interested.
NORMAL,0,2/2/2/2 Learning party with hopes of a full clear. We keep it chill.
NORMAL,0,21-100 have a 99/99 aetherpool ty
NORMAL,0,2222 practice group with experience > hopefully clears later on :D
NORMAL,0,"2-2-2-2, phase 2 prog, got some vets, seen enrage"
NORMAL,0,2-chest clear run II Standard PF strats II Know the mechs or you will be asked to leave
NORMAL,0,2s in p1. farming weapons/gwiber. If you're salty join Kyoko's party
NORMAL,0,2x2x2x2 Farm no salt know your stuff
NORMAL,0,2x2x2x2 FC fun 6/8 come get the mount with us
NORMAL,0,"5/8 static running at 6-8 PST, wide/anti air prog. Happy strat. (9-11 EST)"
NORMAL,0,5/8 Static. Cleaning up P1 hopefully going to P2. doing line strat.
NORMAL,0,"51-151+ Have around 80/80 aetherpool, artifact grinding if possible"
NORMAL,0,"5th week of this shit... P2 after basic onwards, Chinese Lions"
NORMAL,0,"7/8 reclearing 9/10, happy brambles, and jp strat, also progging 11s at prismatic starting 7pm est"
NORMAL,0,7/8 Static | Kill | 2 Chest
NORMAL,0,"A12S Morbol achievement. Need one BLU dps sub in 45 minutes. Discord required, have all spells and bis. "
NORMAL,0,"Add Kid#7572 if your down for Coils, AlexS, OmegaS, or 2.0-4.0 EX primals on MINE (min ilvl no echo)"
NORMAL,0,"Adv. Relativity prog：：G1 AB, G2 CD：：T/H CW：：Titan imgur：：line lions：：P2 TPS"
NORMAL,0,"Adv. Relativity prog：：G1 AB, G2 CD：：T/H CW：：Titan imgur：：line lions：：P2 TPS"
NORMAL,0,Aim to Clear| 0 Chest | G1: N CCW G2: NE CW | From wall facing boss G1: left most G2: right most | VG2 JP Strat | Helper welcomes
NORMAL,0,"All welcome to join, leveling up classes"
NORMAL,0,another day another camp on the finder! u know the drill by now bahaprog or nael clean up
NORMAL,0,Any Chest Clear Party l TPS l Line Lions l Shadow Titan l T/H ccw
NORMAL,0,Any chest~Clear party~braindead~t/h rotate~color~sword up = in
NORMAL,0,anyone else starting to prefer those bot rmt shouts over those rp advert shouts?
NORMAL,0,Ballafell Tournament TONIGHT! Consensual lalafell pushing! INFO: https://ffxiv.pf-n.co/ballafell.png
NORMAL,0,Been sorta to vg1 party  DISCORD REQUIRED
NORMAL,0,being honest here this is a trap 2 people are fresh. Happy Brambles.
NORMAL,0,"Best friends forever, final lap for anima weapon"
NORMAL,0,"best ult don't @ me, one not-cleared"
NORMAL,0,Bili clean up / Dwayne / T H CW :3
NORMAL,0,Bili lions and onwards.
NORMAL,0,"Blind learning for some friends, others who want to learn also welcome. Can explain only if people want"
NORMAL,0,Blu #97. tank and heal needed
NORMAL,0,blu achievment only join if your on enrage 20% or lower Paying 1 MIL GILl to each morbal legend THAT who helps us clear
NORMAL,0,BLU farm for spell #54 (kaltstrahl)  NEED HEALS AND TANK
NORMAL,0,BLU Shock Strike #47 + Log
NORMAL,0,Blu Spell #78 Surpanakha and Log We need 1 Tank and 1 Healer Come get Yall spell :)
NORMAL,0,"Blu Spell farming. Shiva, then Levi, then Alexander spells."
NORMAL,0,"BLU spell, dont know the fight but willing to learn! Join as roles says"
NORMAL,0,"Blue Log completion, come get yours."
NORMAL,0,blue mage gear grinding!
NORMAL,0,"Blue Mages - KNOW FIGHT, Have decent gear, LEVEL 70 BLUES please! Thank you! "
NORMAL,0,Cinder prog for the fc all are welcome no salt! :D
NORMAL,0,Cleaning up to heart phase. Tank swap at 2 stacks.
NORMAL,0,clear party • braindead sundered • blue uptime • fox mist
NORMAL,0,CLEAR PARTY!!!!!!!!!  COME JOIN!!!!!!!! LOVE YOU ALL <33333333333
NORMAL,0,"Clearing for a friend, also come get your dragon "
NORMAL,0,come 2's and chill
NORMAL,0,Come bonk the pope to get your bird
NORMAL,0,come for weapons and dragons :) 4/4 orbs please
NORMAL,0,come get your time worn artifacts.
NORMAL,0,Come have some fun and watch out for those 8-way landslides <3
NORMAL,0,"Come join the fun, get  a win.  Must hug Lily for drops."
NORMAL,0,"Completed or Not, I'm recruiting folks to help complete the Containment Bay series."
NORMAL,0,"Completion and farming.  Get a doggo and hugs, it's a great way to spend your weekend.  Uncapped = easy win."
NORMAL,0,"DAILY Fresh prog runs 12pm CST - 3pm CST. Working on Slime/Golems prog. Do not leave after 1 wipe, or blacklisted."
NORMAL,0,Deltascape 2-4 Savage for glams - Unsynced - Please have at least watched a vid on it
NORMAL,0,Deltascape4.0 WT - - usnynced
NORMAL,0,Discord me for  irl Feet pics ruby#0201  AFK can't see tells
NORMAL,0,Discord required.  Stratbox available for G1 G2.  No salt.  All good times.
NORMAL,0,Does anyone have an indoor marketplace in their house? I'd appreciate the inspiration if you're willing to let me take a look :)
NORMAL,0,Doing Art commission of your charactet with good price! more info add me on discord: d0uglaz#7409 ♥
NORMAL,0,draggo farm
NORMAL,0,"Draggo Farm, T/H CW partners (CW SMN) , DPS towers, NIN uptime, N= 1-4 E= 2-5 S= 3-7 W=4-8 BLM"
NORMAL,0,Duo doodling! Get your portrait drawn by Tori and Aphi! https://picarto.tv/aphi Join party for portrait queue! Ada Limsa
NORMAL,0,e10s learning party jp vg2
NORMAL,0,e10s teaching party. Voidgate 1 prog for everyone except me. Discord recommended. Group 1 CCW from N and Left Wall Relativ
NORMAL,0,"e11 weekly 2 chests, sword up = in"
NORMAL,0,E12S 1 chest | DPS CCW | Titan DS | Line Lions (W Safe) | TPS Relativities
NORMAL,0,"e12s line lions prog, dps is coming, dps cw. 7/8 static"
NORMAL,0,e9 + 10 clear 6/8 static - need a sch/ast + gnb/pld/war8:15pm est
NORMAL,0,"e9s learning party, low sodium pls, have discord if needed :D come enjoy some tentacles with ussssss"
NORMAL,0,farm
NORMAL,0,"Farm Party, Kill before 2nd Forsaken"
NORMAL,0,"Farm. Reppin if necessary. T/H cards, DPS intercard. DPS in towers during adds."
NORMAL,0,"Farming Draggos T/H North, DPS South. OT Take the tethers.  "
NORMAL,0,farming dragons / post macro if u want / DONT JOIN IF U WANT TO LEAVE CAUSE some stupid mistakes in first RUN!
NORMAL,0,Farming Heavens' Ward helm Fragments
NORMAL,0,Farming Heavens' Ward helm Fragments
NORMAL,0,Fat fuk needs to drop a mount for us
NORMAL,0,first go around! feel free to join! i learn better hands on! beginners are more than welcome!!!!! whoop whoop
NORMAL,0,First time doing this.  Anyone is welcome to join.
NORMAL,0,"First time, blind, come check it out with us, bring patience!"
NORMAL,0,"First Voidgate and onward. please know the fight up until there. Bring a good mood, we have cookies :) bring a macro please :3"
NORMAL,0,FISHING Icepick Challenge. Coerthas Western Highlands X:28 Y:18 This quest is hell come join me in suffering and maybe fish idk
NORMAL,0,"floors 51-200 going for gold sacks, speed through 51-150 have a high pool 80+ and 5 hours+"
NORMAL,0,Free Blu Power Leveling to 60! 30m-ish depending on level. Blu Discord for upcoming/old content: https://discord.gg/NaTP2drE3E
NORMAL,0,Free Leveling For Blue Mage! Get from level 1 to 50 in less than 20mins
NORMAL,0,"fresh and blind af meme runs, come suffer with us"
NORMAL,0,Fresh learning party for some :) Come have fun!
NORMAL,0,Fresh prg  2-2-2-2
NORMAL,0,Fresh progression one has downed please have some idea of what your doing.
NORMAL,0,"fresh pug prog, LF new/experienced players"
